id,name,code,currency,language
1,Canada,CAN,CAD,"English,French",
2,United States,USA,USD,"English,Spanish"
3,Mexico,MEX,MXN,Spanish,
4,Guatemala,GTM,GTQ,Spanish
5,Belize,BLZ,BZD,English,
6,Honduras,HND,HNL,Spanish,
7,El Salvador,SLV,USD,Spanish,
8,Nicaragua,NIC,NIO,Spanish,
9,Costa Rica,CRI,CRC,Spanish,
10,Panama,PAN,USD,Spanish,
11,Cuba,CUB,CUP,Spanish,
12,Jamaica,JAM,JMD,English,
13,Haiti,HTI,USD,"French,Creole"
14,Dominican Republic,DOM,DOP,Spanish,
15,Bahamas,BHS,BSD,English,
16,Barbados,BRB,BBD,English,
17,Trinidad and Tobago,TTO,TTD,English,
18,Antigua and Barbuda,ATG,XCD,English,
19,Dominica,DMA,XCD,English,
20,Grenada,GRD,XCD,English,
21,Saint Kitts and Nevis,KNA,XCD,English,
22,Saint Lucia,LCA,XCD,English,
23,Puerto Rico,PRI,USD,"Spanish,English"
24,Colombia,COL,COP,Spanish,
25,Venezuela,VEN,USD,Spanish,
26,Guyana,GUY,GYD,English,
27,Suriname,SUR,SRD,Dutch,
28,French Guiana,GUF,EUR,French,
29,Ecuador,ECU,USD,Spanish,
30,Peru,PER,PEN,"Spanish, Quechua",
31,Brazil,BRA,BRL,Portuguese,
32,Bolivia,BOL,BOB,"Spanish, Quechua, Aymara",
33,Paraguay,PRY,PYG,"Spanish, Guarani",
34,Chile,CHL,CLP,Spanish,
35,Argentina,ARG,ARS,Spanish,
36,Uruguay,URY,UYU,Spanish,
